"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-206-DW-SS-21","21","SS","Water Fountain Room 206","05/04/2023","0.0019","mg/L","1.9","ppb","J","0.002","Shut down","Removed fixture",
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-A101-DWC-SS-08","8","SS","First Floor Water Fountain w/Cooler by Room A101","03/11/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-102-DW-SS-20","20","SS","Water Fountain Room 102","03/02/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-8-DW-SS-20","20","SS","Water Fountain Room 8","03/08/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-16-DW-SS-24","24","SS","Water Fountain Room 16","03/08/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Seaford","Frederick Douglass Elementary School","SEA-2-1-HW-101-WBF-SS-16L","16","SS","Left Water Bottle Filler in Hallway by Room 101","02/14/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Smyrna","Sunnyside Elementary School","SMY-8-1-202-DWC-SS-06L","06L","SS","Left Water Fountain w/Cooler Room 202","02/09/2023","0.0019","mg/L","1.9","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Caesar Rodney High School","CR-3-1-CAF-DWC-SS-28","28","SS","Water Fountain w/Cooler Cafeteria","03/29/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-4-1-GYM-DWC-SS-05","5","SS","Water Fountain w/Cooler Gym","03/30/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-D207-DW-SS-53","53","SS","Room D207 Water Fountain","03/21/2023","0.0018","mg/L","1.8","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Capital","Kent County ILC","Cap-8-1-141-DWC-SS-04","4","SS","Water Fountain w/Cooler Room 141","01/07/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-315-DW-SS-68","68","SS","Water Fountain Room 315","01/27/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Christina","Maclary Elementary School","CHR-17-1-007-DW-SS-10","10","SS","Water Fountain Room 007","01/31/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Christina","Maclary Elementary School","CHR-17-1-003-DW-SS-19","19","SS","Water Fountain Room 003","01/31/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Christina","West Park Place Elementary School","CHR-25-1-105-DW-SS-05","5","SS","Water Fountain Room 105","02/07/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Colonial","Calvin McCullough Middle School","COL-1-1-CR-DW-SS-09","9","SS","Water Fountain Near Copy Room","01/18/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-1-DW-SS-01","1","SS","Water Fountain Room 1","01/05/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-28-DWC-SS-39","39","SS","Water Fountain  Room 28","01/05/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Lake Forest","W.T. Chipman Middle School","LAKE-7-1-GYM-DWC-SS-28","28","SS","Water Fountain w/Cooler Gym","05/04/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest North Elementary School","LAKE-7-1-GYM-DWC-SS-28","28","SS","Water Fountain w/Cooler Gym","05/04/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest East Elementary School","LAKE-3-1-HW-DWC-SS-01","1","SS","Water Fountain w/Cooler in Hallway","05/03/2023","0.0018","mg/L","1.8","ppb","J","0.002","NA","NA","NA"
"Woodbridge","Early Education Center","WOOD-2-1-20-DW-SS-22","22","SS","Water Fountain Room 20","02/22/2023","0.0018","mg/L","1.8","ppb","J","0.002","Fixture shut-off","Fixture replaced",
"Caesar Rodney","Postlethwaite Middle School","CR-11-2-206H-DW-SS-29L","29","SS","Left water Fountain Room 206H","04/05/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-C111-DW-SS-29","29","SS","Room C111 Water Fountain","04/18/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E212-DW-SS-70","70","SS","Room E212 Water Fountain","04/25/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-1-C108-DWC-SS-23","23","SS","Water Fountain w/Cooler Room C108","03/08/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Mariner Middle School","CAPE-6-1-502-DWC-SS-10","10","SS","Water Fountain w/Cooler Room 502","03/09/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-C205-DW-SS-48","48","SS","Room C205 Water Fountain","03/21/2023","0.0017","mg/L","1.7","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Sussex Consortium","CAPE-9-1-102-DW-SS-63","63","SS","Room 102 Water Fountain","03/18/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Capital","Booker T. Washington Elementary School","CAP-1-1-103-DW-SS-06","6","SS","Water Fountain Room 103","01/14/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Capital","Booker T. Washington Elementary School","CAP-1-1-10-DWC-SS-18","18","SS","Water Fountain Room 10","01/14/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Capital","North Dover Elementary","CAP-9-1-B3-DW-SS-23","23","SS","Water Fountain Room B3","01/07/2023","0.0017","mg/L","1.7","ppb","J","0.002","Fixture Turned Off",,
"Capital","North Dover Elementary","CAP-9-1-B4-DW-SS-24","24","SS","Water Fountain Room B4","01/07/2023","0.0017","mg/L","1.7","ppb","J","0.002","Fixture Turned Off",,
"Capital","North Dover Elementary","CAP-9-1-B6-DW-SS-26","26","SS","Water Fountain Room B6","01/07/2023","0.0017","mg/L","1.7","ppb","J","0.002","Fixture Turned Off",,
"Charter School","Odyssey Charter School - Annex","OD-A-2-HW-BTW BRGR-DWC-SS08","8","SS","Water Fountain w/Cooler Between Boy's & Girl's Restroom","05/09/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-143-DW-SS-28","28","SS","Water Fountain Room 143","01/20/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-028-DW-SS-25","25","SS","Room 028 Water Fountain","01/31/2023","0.0017","mg/L","1.7","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Colonial","Castle Hills Elementary","COL-3-1-M3-DW-SS-30","30","SS","Water Fountain Room M3","01/10/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-2-203-DW-SS-68","68","SS","Second Floor Water Fountain Room 203","02/02/2023","0.0017","mg/L","1.7","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Colonial","Carrie Downie Elementary School","C01-2-1-504-DW-SS-32","2","SS","Water Fountain Room 504","01/20/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-704-DWC-SS-28","28","SS","Water Fountain w/Cooler Room 704","01/20/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-9-DW-SS-09","9","SS","Water Fountain Room 9","01/05/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Colonial","Wilmington Manor Elementary School","COL-14-01-15-DW-SS-07","7","SS","Water Fountain Room 15","01/10/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Milford","Milford Central Academy","MIL-3-1-HW-845-WBF-SS-15","15","SS","Bottle Filler by Room 845","05/10/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-B-C005-DWC-SS-06","6","SS","Basement Water Fountain w/Cooler by Room C005","03/11/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-A131-DWC-SS-20","20","SS","First Floor Water Fountain w/Cooler by Room A131","03/11/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-CAFE-DWC-SS-65","65","SS","Water Fountain w/Cooler Cafeteria","03/11/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Howard High School of Technology","NCC Vo-Tech-3-1-B130-DWC-SS-01","1","SS","Water Fountain w/Cooler Room B130","03/11/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Howard High School of Technology","NCC Vo-Tech-3-1-B130-DWC-SS-02","2","SS","Water Fountain w/Cooler Room B130","03/11/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Polytech","Polytech","POLY-1-1-4010-DWC-SS-25","25","SS","Water Fountain w/Cooler Room 4010","02/18/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Anna P. Mote Elementary School","RED-3-1-104-DW-SS-23","23","SS","Water Fountain Room 104","03/02/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Forest Oak Elementary School","RED-9-B-104-DW-SS-75","75","SS","Basement Water Fountain Room 104","03/07/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Forest Oak Elementary School","RED-9-B-104-DW-SS-75","75","SS","Basement Water Fountain Room 114","03/07/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Heritage Elementary School","RED-12-1-6-DW-SS-19","19","SS","Water Fountain Room 6","03/08/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Linden Hill Elementary School","RED-15-2-110-DW-SS-30","30","SS","Second Floor Room 110 Water Fountain","03/23/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Red Clay","Warner Elementary School","RED-23-1-122-DWC-SS-25","25","SS","Water Fountain w/Cooler Room 122","03/23/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Seaford","Seaford High School","SEA-4-1-CAF-DWC-SS-02","2","SS","Water Fountain w/Cooler Cafeteria","02/15/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Seaford","Seaford High School","SEA-4-1-CAF-DWC-SS-03","3","SS","Water Fountain w/Cooler Cafeteria","02/15/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Smyrna","Sunnyside Elementary School","SMY-8-1-202-DWC-SS-07R","07R","SS","Right Water Fountain w/Cooler Room 202","02/09/2023","0.0017","mg/L","1.7","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Postlethwaite Middle School","CR-11-2-206H-DW-SS-30R","30","SS","Right water Fountain Room 206H","04/05/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Postlethwaite Middle School","CR-11-1-WLR-DW-SS-40","40","SS","Water Fountain - Women's Locker Room","04/05/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-1-D101-DW-SS-12","12","SS","Room D101 Water Fountain","03/21/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Capital","North Dover Elementary","CAP-9-1-B5-DW-SS-25","25","SS","Water Fountain Room B5","01/07/2023","0.0016","mg/L","1.6","ppb","J","0.002","Fixture Turned Off",,
"Christina","Keene Elementary School","CHR-14-1-119-DW-SS-17","17","SS","Water Fountain Room 119","01/25/2023","0.0016","mg/L","1.6","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.",
"Christina","Marshall Elementary School","CHR-18-1-012-DW-SS-42","42","SS","Room 012 Water Fountain","01/31/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Christina","McVey Elementary School","CHR-19-1-MR-DWC-SS-24","24","SS","Water Fountain w/Cooler by Men's Room","02/01/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-2-315-DW-SS-44","44","SS","Second Floor Water Fountain Room 315","02/02/2023","0.0016","mg/L","1.6","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Christina","Oberle Elementary School","CHR-21-2-301-DW-SS-53","53","SS","Second Floor Water Fountain Room 301","02/02/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-2-MO-DW-SS-72","72","SS","Second Floor Main Office Water Fountain","02/02/2023","0.0016","mg/L","1.6","ppb","J","0.002","Water Cooler turned off.  Portable water station added.","Water Cooler turned off.  Portable water station added.","NA"
"Christina","Smith Elementary School","CHR-24-1-112-DW-SS-09","9","SS","Water Fountain Room 112","02/02/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Christina","Smith Elementary School","CHR-24-1-97-DW-SS-32","32","SS","Water Fountain Room 97","02/02/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Colonial","Carrie Downie Elementary School","C01-2-1-301-DW-SS-22","22","SS","Water Fountain Room 301","01/20/2023","0.0016","mg/L","1.6","ppb","J","0.002","Shutdown Fixture","Replace bubbler and water supply line",
"Indian River","East Millsboro Elementary School","IR-1-1-50-DWC-SS-10","10","SS","Water Fountain w/Cooler Room 50","01/11/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-224-DW-SS-17","17","SS","Water Fountain Room 224","05/04/2023","0.0016","mg/L","1.6","ppb","J","0.002","Shut down","Removed fixture",
"Milford","Morris Early Childhood Center","MIL-6-1-E1-DWC-SS-23","23","SS","Water Fountain w/Cooler Room E1","05/10/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Red Clay","H. B. DuPont Middle School","RED-10-1-HW-WR-DWC-SS-19","19","SS","First Floor Hallway Water Fountain w/Cooler by Women's Room","03/22/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Red Clay","John Dickinson High School","RED-14-1-AUX-DWC-SS-15","15","SS","Water Fountain w/Cooler in AUX Gym","03/09/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Red Clay","Linden Hill Elementary School","RED-15-2-105-DW-SS-35","35","SS","Second Floor Room 105 Water Fountain","03/23/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Red Clay","Richey Elementary School","RED-20-2-204-DW-SS-25","25","SS","Second Floor Water Fountain Room 204","03/16/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Woodbridge","Early Education Center","WOOD-2-2-MR-DWC-SS-24","24","SS","Second Floor Water Fountain w/Cooler by Men's Restroom","02/22/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Woodbridge","Phillis Wheatley Elementary School","WOOD-1-1-MR-DWC-SS-15R","15","SS","Right Water Fountain w/Cooler by Men's Room","02/22/2023","0.0016","mg/L","1.6","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E201-DW-SS-88","88","SS","Room E201 Water Fountain","04/25/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E202-DW-SS-90","90","SS","Room E202 Water Fountain","04/25/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-1-D105-DW-SS-05","5","SS","Room D105 Water Fountain","03/21/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Capital","East Dover Elementary School","CAP-4-1-115-DW-SS-08R","8","SS","Water Fountain Room 115","01/14/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Capital","Kent County ILC","Cap-8-1-129-DWC-SS-06","6","SS","Water Fountain w/Cooler Room 129","01/07/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Capital","North Dover Elementary","CAP-9-1-A8-DW-SS-20","20","SS","Water Fountain Room A8","01/07/2023","0.0015","mg/L","1.5","ppb","J","0.002","Fixture Turned Off",,
"Charter School","Charter School of Wilmington","RED-1-3-303-DWC-SS-52","52","SS","Third Floor Water Fountain w/Cooler Room 303","03/03/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Charter School","East Side Charter","CHAR-9-2-WR-DWC-SS-06","6","SS","Second Floor Water Fountain w/Cooler by Women's Restroom","03/24/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-322-DW-SS-62","62","SS","Water Fountain Room 322","01/27/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-317-DW-SS-66","66","SS","Water Fountain Room 317","01/27/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-034-DW-SS-10","10","SS","Room 034 Water Fountain","01/31/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-023-DW-SS-20","20","SS","Room 023 Water Fountain","01/31/2023","0.0015","mg/L","1.5","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","West Park Place Elementary School","CHR-25-1-113-DW-SS-27","27","SS","Water Fountain Room 113","02/07/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Colonial","Carrie Downie Elementary School","C01-2-1-505-DW-SS-33","3","SS","Water Fountain Room 505","01/20/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Colonial","Harry O. Eisenberg Elementary School","COL-7-1-34-DWC-SS-28L","28L","SS","Left Water Fountain w/Cooler Room 34","01/10/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Indian River","GW Carver Education Center","IR-6-1-B108-DW-SS-07L","7","SS","Left Water Fountain Room B108","01/26/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-204-DW-SS-22","22","SS","Water Fountain Room 204","05/04/2023","0.0015","mg/L","1.5","ppb","J","0.002","Shut down","Removed fixture",
"Lake Forest","Lake Forest South Elementary","Lake-6-1-135-DW-SS-25","25","SS","Water Fountain Room 135","05/04/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-B105-DWC-SS-39","39","SS","First Floor Water Fountain w/Cooler by Room B105","03/11/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-B110-DWC-SS-44","44","SS","First Floor Water Fountain w/Cooler by Room B110","03/11/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Red Clay","AI DuPont High School","RED-1-1-CAF-DWC-SS-04","4","SS","Water Fountain w/Cooler Cafeteria","02/22/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Red Clay","Linden Hill Elementary School","RED-15-1-GYM-DWC-SS-07","7","SS","Water Fountain w/Cooler Gym","03/23/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Red Clay","William Lewis Elementary School","RED-26-1-GYM-DW-SS-05","5","SS","First Floor Water Fountain in Gym","03/17/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Sussex Vo-Tech","Sussex Tech","ST-1-1-WR-DWC-SS-34L","34","SS","Left Water Fountain w/Cooler by Women's Restroom","02/11/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Sussex Vo-Tech","Sussex Tech","ST-1-1-BGYM-DWC-SS-53","53","SS","B Gym Water Fountain w/Cooler","02/11/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Woodbridge","Early Education Center","WOOD-2-1-08-DW-SS-08","8","SS","Water Fountain Room 08","02/22/2023","0.0015","mg/L","1.5","ppb","J","0.002","NA","NA","NA"
"Appoquinimink","Brick Mill Elementary School","APPO-5-1-F108-DW-SS-11","11","SS","Room F108 Water Fountain","03/30/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Allen Frear/JS Charlton","CR-1-1-142-DW-SS-27","27","SS","Room 142 Water Fountain","03/28/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-C109-DW-SS-23","23","SS","Room C109 Water Fountain","04/18/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-C132-DW-SS-45","45","SS","Room C132 Water Fountain","04/18/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E207-DW-SS-76","76","SS","Room E207 Water Fountain","04/25/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-1-LIB-DWC-SS-42","42","SS","Water Fountain w/Cooler Library","03/08/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-1-D203-DW-SS-46","46","SS","Water Fountain Room D203","03/10/2023","0.0014","mg/L","1.4","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Mariner Middle School","CAPE-6-1-302-DWC-SS-16","16","SS","Water Fountain w/Cooler Room 302","03/09/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-1-C104-DW-SS-16","16","SS","Room C104 Water Fountain","03/21/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-D201-DW-SS-54","54","SS","Room D201 Water Fountain","03/21/2023","0.0014","mg/L","1.4","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-D205-DW-SS-61","61","SS","Room D205 Water Fountain","03/21/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Capital","Booker T. Washington Elementary School","CAP-1-1-B114-DW-SS-12","12","SS","Water Fountain Room B114","01/14/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Capital","Booker T. Washington Elementary School","CAP-1-1-A109-DW-SS-35","35","SS","Water Fountain Room A109","01/14/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Charter School","Charter School of Wilmington","RED-1-3-307-DWC-SS-48","48","SS","Third Floor Water Fountain w/Cooler Room 307","03/03/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-138-DW-SS-27","27","SS","Water Fountain Room 138","01/20/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-326-DW-SS-58","58","SS","Water Fountain Room 326","01/27/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-011-DW-SS-41","41","SS","Room 011 Water Fountain","01/31/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-2-318-DW-SS-35","35","SS","Second Floor Water Fountain Room 318","02/02/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Christina","Shue-Medill Middle School","CHR-23-1-GYM-DWC-SS-08","8","SS","Water Fountain w/Cooler Gym","05/13/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Colonial","Calvin McCullough Middle School","COL-1-2-211-DWC-SS-35R","35","SS","Second Floor Right Water Fountain w/Cooler Room 211","01/25/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-BLRHW-DWC-SS-17","17","SS","Water Fountain w/Cooler in the Hallway by the Boy's Locker Room","01/20/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-27-DW-SS-37","37","SS","Water Fountain  Room 27","01/05/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-32-DW-SS-43","43","SS","Water Fountain  Room 32","01/05/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-136-DW-SS-32","32","SS","Water Fountain Room 136","05/04/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-124-DW-SS-34","34","SS","Water Fountain Room 124","05/04/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Milford","Morris Early Childhood Center","MIL-6-1-B2-DWC-SS-13","13","SS","Water Fountain w/Cooler Room B2","05/10/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Hodgson Technical High School","NCC Vo-Tech-2-1-CARP-DWC-SS-04","4","SS","Water Fountain w/Cooler in Carpentry Shop","03/04/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Polytech","Polytech","POLY-1-1-1960-DWC-SS-57","57","SS","Water Fountain w/Cooler Room 1960","02/18/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Red Clay","AI DuPont High School","RED-1-2-GYM-DWC-SS-10","10","SS","Second Floor Water Fountain w/Cooler Gym","02/22/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
